Date,Weight
2017-04-13,215.0
2017-10-04,210.0
2017-10-05,208.8
2017-10-06,209.8
2017-10-07,211.0
2017-10-09,212.6
2017-10-10,210.8
2017-10-11,212.6
2017-10-12,213.0
2017-10-13,211.0
2017-10-15,212.6
2017-10-17,211.2
2017-10-20,214.8
2017-10-23,214.6
2017-10-24,213.6
2017-10-26,214.8
2017-10-27,212.6
2017-10-29,215.2
2017-11-03,215.8
2017-11-04,215.2
2017-11-06,214.2
2017-11-07,214.8
2017-11-08,213.8
2017-11-09,214.2
2017-11-10,214.8
2017-11-14,213.6
2017-11-16,213.8
2017-11-17,212.8
2017-11-21,219.6
2017-11-22,217.0
2017-12-01,218.0
2017-12-02,219.4
2017-12-12,215.4
2018-02-05,219.0
2018-02-06,217.8
2018-02-07,215.4
2018-02-08,216.0
2018-02-09,215.6
2018-02-10,214.6
2018-02-11,218.0
2018-02-12,217.8
2018-02-13,214.6
2018-02-14,215.0
2018-02-15,215.2
2018-02-16,216.8
2018-02-19,218.0
2018-02-22,215.4
2018-02-23,215.4
2018-02-24,214.8
2018-02-25,216.2
2018-02-26,215.8
2018-02-27,215.8
2018-03-04,212.4
2018-03-06,212.6
2018-03-07,211.8
2018-03-08,212.0
2018-03-09,211.8
2018-03-10,210.8
2018-03-12,208.4
2018-03-14,210.6
2018-03-15,209.4
2018-03-16,207.4
2018-03-18,210.0
2018-03-19,208.6
2018-03-21,209.8
2018-03-22,210.0
2018-03-23,209.6
2018-03-24,209.4
2018-04-01,208.6
2018-04-02,207.2
2018-04-03,207.0
2018-04-04,205.0
2018-04-05,205.0
2018-06-19,200.0
2018-07-22,210.0
2018-08-07,216.0
2018-08-09,218.0
2018-08-17,219.0
2018-08-20,223.6
2018-08-21,220.6
2018-08-22,220.4
2018-08-23,219.4
2018-08-24,219.6
2018-08-26,222.0
2018-08-27,221.6
2018-08-28,221.2
2018-08-29,222.4
2018-08-30,223.8
2018-09-02,224.6
2018-09-04,223.4
2018-09-05,225.0
2018-09-06,226.4
2018-09-07,227.0
2018-09-08,224.0
2018-09-09,225.4
2018-09-11,225.0
2018-09-12,226.0
2018-09-13,226.4
2018-09-14,226.2
2018-09-15,225.0
2018-09-16,224.8
2018-09-17,223.8
2018-09-18,224.8
2018-09-19,224.4
2018-09-20,225.8
2018-09-21,226.8
2018-09-22,224.6
2018-09-24,226.6
2018-09-25,226.0
2018-09-26,225.4
2018-09-27,223.6
2018-09-28,223.4
2018-09-29,220.4
2018-10-01,223.2
2018-10-02,223.4
2018-10-03,222.0
2018-10-04,223.2
2018-10-05,223.2
2018-10-06,221.4
2018-10-09,223.4
2018-10-10,223.8
2018-10-11,224.8
2018-10-12,223.6
2018-10-13,221.0
2018-10-14,223.6
2018-10-15,223.6
2018-10-16,221.8
2018-10-17,223.4
2018-10-18,222.8
2018-10-20,221.6
2018-10-21,222.0
2018-10-22,222.8
2018-10-23,222.0
